Época 1000, Perda: 0.010416666977107525
Época 1100, Perda: 0.010416666977107525
Época 1200, Perda: 0.010416666977107525
Época 1300, Perda: 0.010416666977107525
Época 1400, Perda: 0.010416666977107525
Época 1500, Perda: 0.010416666977107525
Época 1600, Perda: 0.010416666977107525
Época 1700, Perda: 0.010416666977107525
Época 1800, Perda: 0.010416666977107525
Época 1900, Perda: 0.010416666977107525
Época 2000, Perda: 0.010416666977107525
Época 2100, Perda: 0.010416666977107525
Época 2200, Perda: 0.5833333134651184
Época 2300, Perda: 0.5833333134651184
Época 2400, Perda: 0.5833333134651184
Época 2500, Perda: 0.5833333134651184
Época 2600, Perda: 0.5833333134651184
Época 2700, Perda: 0.5833333134651184
Época 2800, Perda: 0.5833333134651184
Época 2900, Perda: 0.5833333134651184
Época 3000, Perda: 0.5833333134651184
Época 3100, Perda: 0.5833333134651184
Época 3200, Perda: 0.5833333134651184
Época 3300, Perda: 0.5833333134651184
Época 3400, Perda: 0.5833333134651184
Época 3500, Perda: 0.5833333134651184
Época 3600, Perda: 0.5833333134651184
Época 3700, Perda: 0.5833333134651184
Época 3800, Perda: 0.5833333134651184
Época 3900, Perda: 0.5833333134651184
Época 4000, Perda: 0.5833333134651184
Época 4100, Perda: 0.5833333134651184
Época 4200, Perda: 0.5833333134651184
Época 4300, Perda: 0.5833333134651184
Época 4400, Perda: 0.5833333134651184
Época 4500, Perda: 0.5833333134651184
Época 4600, Perda: 0.5833333134651184
Época 4700, Perda: 0.5833333134651184
Época 4800, Perda: 0.5833333134651184
Época 4900, Perda: 0.5833333134651184
Época 5000, Perda: 0.5833333134651184
Época 5100, Perda: 0.5833333134651184
Época 5200, Perda: 0.5833333134651184
Época 5300, Perda: 0.5833333134651184
Época 5400, Perda: 0.5833333134651184
Época 5500, Perda: 0.5833333134651184
Época 5600, Perda: 0.5833333134651184
Época 5700, Perda: 0.5833333134651184
Época 5800, Perda: 0.5833333134651184
Época 5900, Perda: 0.5833333134651184
Época 6000, Perda: 0.5833333134651184
Época 6100, Perda: 0.5833333134651184
Época 6200, Perda: 0.5833333134651184
Época 6300, Perda: 0.5833333134651184
Época 6400, Perda: 0.5833333134651184
Época 6500, Perda: 0.5833333134651184
Época 6600, Perda: 0.5833333134651184
Época 6700, Perda: 0.5833333134651184
Época 6800, Perda: 0.5833333134651184
Época 6900, Perda: 0.5833333134651184
Época 7000, Perda: 0.5833333134651184
Época 7100, Perda: 0.5833333134651184
Época 7200, Perda: 0.5833333134651184
Época 7300, Perda: 0.5833333134651184
Época 7400, Perda: 0.5833333134651184
Época 7500, Perda: 0.5833333134651184
Época 7600, Perda: 0.5833333134651184
Época 7700, Perda: 0.5833333134651184
Época 7800, Perda: 0.5833333134651184
Época 7900, Perda: 0.5833333134651184
Época 8000, Perda: 0.5833333134651184
Época 8100, Perda: 0.5833333134651184
Época 8200, Perda: 0.5833333134651184
Época 8300, Perda: 0.5833333134651184
Época 8400, Perda: 0.5833333134651184
Época 8500, Perda: 0.5833333134651184
Época 8600, Perda: 0.5833333134651184
Época 8700, Perda: 0.5833333134651184
Época 8800, Perda: 0.5833333134651184
Época 8900, Perda: 0.5833333134651184
Época 9000, Perda: 0.5833333134651184
Época 9100, Perda: 0.5833333134651184
Época 9200, Perda: 0.5833333134651184
Época 9300, Perda: 0.5833333134651184
Época 9400, Perda: 0.5833333134651184
Época 9500, Perda: 0.5833333134651184
Época 9600, Perda: 0.5833333134651184
Época 9700, Perda: 0.5833333134651184
Época 9800, Perda: 0.5833333134651184
Época 9900, Perda: 0.5833333134651184
